"ensembl","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00010022911","SMPD3",1785.80482146335,0.4959275465977,0.223116838267738,2.22272577205756,0.0262342969740564,0.433715285559722
"ENSGALG00010026603","ENSGALG00010026603",100.044778132774,0.764511201636456,0.343965705688104,2.222637864746,0.0262402288137352,0.433715285559722
"ENSGALG00010002942","GABRB3",529.617561808351,0.692640658672975,0.311815224050147,2.22131764343098,0.0263294546844418,0.434090310214694
"ENSGALG00010018835","CAMK2B",1466.13163650196,0.686581774320686,0.309111595879725,2.22114531927115,0.0263411203663177,0.434090310214694
"ENSGALG00010015663","AK7",14.2462143915366,-1.67143439424916,0.752589283500986,-2.22091176541045,0.0263569381915066,0.434090310214694
"ENSGALG00010017035","PIK3CD",28.04631345041,-1.25518595205233,0.56610576061895,-2.21722872185575,0.0266074658266854,0.436650763487104
"ENSGALG00010000029","ND4",4885.4346035978,0.663677096412583,0.299338424524904,2.2171463535493,0.026613092110143,0.436650763487104
"ENSGALG00010024136","SAP130",156.693023019926,0.677703131762807,0.305736395392509,2.21662563559945,0.026648684272931,0.436650763487104
"ENSGALG00010007238","ENSGALG00010007238",42.418054522448,1.10068549041617,0.496641673684007,2.21625680795464,0.02667391928183,0.436650763487104
"ENSGALG00010003853","ENSGALG00010003853",34.128208767952,-1.24203268074756,0.560771915271045,-2.21486249030007,0.0267695043983156,0.436650763487104
"ENSGALG00010006903","B3GLCT",309.780527502935,0.538048324280218,0.242941117658495,2.21472729468776,0.0267787882187995,0.436650763487104
"ENSGALG00010012970","UNC5A",285.809589785038,0.61278736689101,0.276698855068153,2.21463643837658,0.0267850288418442,0.436650763487104
"ENSGALG00010002673","SLC66A3",134.517220979915,0.673889235797985,0.304297956386676,2.21457036320567,0.0267895681180973,0.436650763487104
"ENSGALG00010010310","NT5DC3",153.365979990097,0.63076455602975,0.284847876286371,2.2143909382551,0.0268018977244927,0.436650763487104
"ENSGALG00010001220","PLXNB2",1036.9022382777,0.66815386976879,0.301783614838345,2.21401639093858,0.0268276514134377,0.436650763487104
"ENSGALG00010016472","TFDP1",467.968111202053,0.516282358834686,0.23358831620379,2.2102233845646,0.0270896628108964,0.440397792950383
