Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSGALG00010000594,,
ENSGALG00010000595,MYO10,101749223
ENSGALG00010000596,,112531075
ENSGALG00010000597,CDH9,428487
ENSGALG00010000598,,
ENSGALG00010000599,RETREG1,100859798
ENSGALG00010000600,,
ENSGALG00010000601,,121112239
ENSGALG00010000601,,121107782
ENSGALG00010000601,,121107771
ENSGALG00010000602,,
ENSGALG00010000603,ZNF622,373921
ENSGALG00010000604,,121108665
ENSGALG00010000604,,107049738
ENSGALG00010000605,MARCHF11,420914
ENSGALG00010000606,UBE2QL1,420939
ENSGALG00010000607,,
ENSGALG00010000608,,121107783
ENSGALG00010000609,,
ENSGALG00010000610,,420940
ENSGALG00010000611,C7orf57,420941
ENSGALG00010000612,,
ENSGALG00010000613,,121108874
ENSGALG00010000614,KAT8,121108154
ENSGALG00010000615,,121107769
ENSGALG00010000616,PSENEN,121108876
ENSGALG00010000617,,
ENSGALG00010000618,,
ENSGALG00010000619,,
ENSGALG00010000620,,
ENSGALG00010000621,UPP1,420942
ENSGALG00010000622,,
ENSGALG00010000623,,101748630
ENSGALG00010000624,,
ENSGALG00010000625,,112533458
ENSGALG00010000626,ABCA13,420943
ENSGALG00010000627,,
ENSGALG00010000628,,
ENSGALG00010000629,,
ENSGALG00010000630,,
ENSGALG00010000631,,
ENSGALG00010000632,,
ENSGALG00010000633,VWC2,420944
ENSGALG00010000634,,100858386
ENSGALG00010000635,,121108872
ENSGALG00010000636,,121108148
ENSGALG00010000637,,
ENSGALG00010000638,,
ENSGALG00010000639,SCN1B,107051305
ENSGALG00010000640,,
ENSGALG00010000641,,121108149
ENSGALG00010000642,ZPBP1,404537
ENSGALG00010000643,VKORC1,404205
ENSGALG00010000644,SPMIP7,100857655
ENSGALG00010000645,,121112235
ENSGALG00010000646,,
ENSGALG00010000647,,
ENSGALG00010000648,,
ENSGALG00010000649,PAPD7,770425
ENSGALG00010000650,BCKDK,121108144
ENSGALG00010000651,,429272
ENSGALG00010000652,SRD5A1,770453
ENSGALG00010000653,NSUN2,420938
ENSGALG00010000654,,
ENSGALG00010000655,,121107780
ENSGALG00010000656,,
ENSGALG00010000657,,
ENSGALG00010000658,,
ENSGALG00010000659,,121109782
ENSGALG00010000660,,
ENSGALG00010000661,,
ENSGALG00010000662,,
ENSGALG00010000663,,
ENSGALG00010000664,,
ENSGALG00010000665,,
ENSGALG00010000666,,
ENSGALG00010000667,,
ENSGALG00010000668,,
ENSGALG00010000669,,
ENSGALG00010000670,,
ENSGALG00010000671,,
ENSGALG00010000672,,
ENSGALG00010000673,,
ENSGALG00010000674,GRB10,420948
ENSGALG00010000675,,
ENSGALG00010000676,,
ENSGALG00010000677,,
ENSGALG00010000678,,
ENSGALG00010000679,,
ENSGALG00010000680,,
ENSGALG00010000681,,
ENSGALG00010000682,,
ENSGALG00010000683,,
ENSGALG00010000684,COBL,420949
